Ticker,mkt_cap,pb_ratio,beta,profit_margin,roa,roe
ETR,,,0.60,11.77%,2.26%,11.88%
EOG,,,1.91,2.67%,1.07%,1.72%
EMR,,,1.48,11.39%,8.19%,23.79%
EFX,,,1.15,8.03%,4.40%,11.42%
EQR,,,0.52,41.64%,2.68%,10.76%
EL,,,0.78,4.78%,8.49%,16.63%
ESS,,,0.65,38.51%,2.95%,10.33%
EXPE,,,1.54,-17.09%,-0.85%,-32.52%
ES,,,0.37,13.51%,3.03%,8.92%
EXC,,,0.45,7.94%,2.10%,7.32%
RE,,,0.48,6.24%,1.22%,5.83%
EQIX,,,,,,
EVRG,,,,,,
EXR,,,0.22,31.99%,4.80%,16.64%
FFIV,,,1.05,13.95%,7.06%,17.19%
FB,,,1.21,31.30%,13.58%,23.61%
XOM,,,1.30,3.35%,0.65%,3.65%
EXPD,,,,,,
FAST,,,1.19,15.07%,17.66%,31.54%
FDX,,,1.39,1.86%,2.67%,7.13%
FRT,,,0.86,31.79%,2.53%,10.62%
FITB,,,1.71,23.15%,0.82%,7.10%
FRC,,,1.17,27.89%,0.82%,9.66%
FIS,,,0.69,0.25%,1.67%,0.13%
FISV,,,0.81,5.82%,2.06%,4.76%
FLS,,,1.78,3.77%,5.12%,8.96%
FLT,,,1.47,29.88%,6.20%,22.52%
FLIR,,,1.55,7.42%,6.30%,7.67%
FE,,,,,,
FMC,,,1.24,10.35%,6.82%,19.52%
FTNT,,,0.96,17.46%,7.71%,49.35%
FTV,,,1.24,8.00%,4.10%,7.74%
F,,,1.32,-1.63%,-0.51%,-6.34%
FBHS,,,1.72,7.61%,7.52%,18.08%
FOXA,,,N/A,8.12%,7.56%,10.33%
FOX,,,N/A,8.12%,7.56%,10.33%
BEN,,,1.30,19.04%,5.76%,8.40%
GRMN,,,0.99,24.82%,9.62%,21.01%
IT,,,1.44,5.70%,4.06%,24.48%
GE,,,0.90,-5.10%,0.64%,8.37%
GIS,,,0.57,12.37%,6.40%,26.30%
GM,,,1.39,1.46%,0.81%,3.59%
FCX,,,,,,
GPC,,,1.11,-1.03%,4.61%,0.75%
GPS,,,,,,
GILD,,,0.66,-1.16%,4.37%,-1.40%
GPN,,,1.12,5.68%,2.38%,2.58%
GD,,,,,,
GL,,,1.10,15.84%,2.34%,10.00%
GS,,,1.44,14.48%,0.52%,5.86%
GWW,,,1.01,5.36%,11.51%,31.64%
HAL,,,2.57,-21.35%,1.68%,-55.08%
HBI,,,1.64,7.84%,7.01%,47.28%
HRB,,,0.78,-0.29%,2.72%,2.01%
HAS,,,0.91,7.58%,5.30%,17.32%
HIG,,,0.98,8.80%,2.40%,11.27%
HCA,,,1.41,6.67%,8.40%,N/A
PEAK,,,0.64,14.63%,0.85%,4.80%
HSIC,,,0.99,6.35%,4.93%,15.73%
HSY,,,0.20,13.50%,11.95%,62.00%
HES,,,2.22,-60.21%,-0.89%,-33.28%
HPE,,,1.29,0.00%,2.41%,0.01%
HLT,,,1.24,1.86%,2.73%,N/A
HFC,,,1.66,-1.11%,2.21%,-1.04%
HOLX,,,1.52,15.07%,6.24%,22.05%
HRL,,,-0.06,9.59%,7.77%,15.28%
HST,,,1.27,2.49%,-0.34%,1.30%
HUM,,,0.86,4.96%,8.88%,26.64%
HD,,,,,,
HWM,,,1.47,3.87%,6.28%,14.17%
HPQ,,,1.01,4.51%,7.91%,N/A
HBAN,,,1.52,23.63%,0.78%,7.40%
HON,,,,,,
IEX,,,1.05,15.71%,9.03%,17.15%
IDXX,,,0.85,18.59%,20.57%,206.87%
HII,,,,,,
INFO,,,1.02,18.43%,3.56%,9.64%
INCY,,,0.99,-8.00%,-3.77%,-8.32%
ILMN,,,0.98,20.68%,8.75%,15.58%
ITW,,,1.17,17.16%,12.39%,80.18%
INTC,,,0.69,29.97%,11.63%,30.15%
ICE,,,0.55,38.47%,1.75%,12.69%
IR,,,1.48,-4.51%,1.29%,-2.81%
IP,,,1.31,2.98%,3.85%,8.70%
IBM,,,1.21,10.43%,3.62%,40.97%
IPG,,,1.05,5.45%,3.96%,17.73%
INTU,,,1.02,23.78%,15.80%,41.24%
IFF,,,1.04,8.27%,3.58%,6.84%
IVZ,,,1.44,10.97%,2.53%,4.62%
IPGP,,,1.71,10.79%,4.80%,5.33%
IQV,,,1.33,1.21%,1.97%,2.52%
IRM,,,0.71,4.82%,3.61%,14.41%
J,,,0.93,4.11%,4.89%,5.59%
JNJ,,,0.69,18.86%,8.05%,24.54%
JBHT,,,1.01,5.30%,8.18%,21.64%
SJM,,,0.14,10.78%,5.16%,10.54%
ISRG,,,,,,
JCI,,,1.24,3.54%,2.41%,4.76%
JKHY,,,,,,
JPM,,,1.16,25.86%,0.85%,9.53%
KSU,,,0.96,20.64%,6.61%,11.54%
JNPR,,,0.98,7.89%,3.37%,7.72%
K,,,0.58,8.09%,5.79%,33.36%
KEY,,,1.50,23.11%,0.77%,7.01%
KMB,,,0.51,13.58%,14.46%,955.23%
KIM,,,1.13,93.11%,2.22%,18.75%
KMI,,,0.97,1.41%,2.75%,0.67%
KSS,,,1.70,-0.61%,-0.00%,-2.06%
KLAC,,,1.33,20.96%,12.01%,45.35%
KHC,,,1.03,-0.75%,3.38%,-0.38%
KEYS,,,,,,
LB,,,1.49,-6.96%,N/A,N/A
LHX,,,0.75,6.80%,N/A,N/A
LH,,,1.41,3.16%,4.65%,4.99%
KR,,,,,,
LRCX,,,1.40,22.42%,12.58%,45.74%
LVS,,,1.55,3.95%,2.99%,7.49%
LW,,,0.76,9.65%,9.97%,310.88%
LEG,,,1.62,5.29%,5.25%,18.43%
LDOS,,,1.12,5.26%,5.65%,17.72%
LLY,,,0.22,24.48%,9.90%,157.61%
LEN,,,1.63,9.30%,5.73%,13.12%
LNC,,,2.22,1.35%,0.12%,1.16%
LIN,,,0.79,8.37%,2.69%,4.67%
LMT,,,0.94,10.25%,10.60%,193.03%
LYV,,,1.11,-9.05%,-3.04%,-54.37%
L,,,0.76,-9.11%,-0.35%,-8.04%
LOW,,,1.43,7.12%,11.80%,163.64%
MPC,,,2.19,-7.49%,1.29%,-21.91%
LKQ,,,,,,
MTB,,,1.21,27.65%,1.14%,9.38%
LYB,,,1.54,6.77%,5.32%,22.15%
MRO,,,3.32,-16.18%,-0.54%,-5.59%
MKTX,,,0.62,42.75%,21.70%,34.70%
MAR,,,1.56,11.99%,2.57%,79.76%
MLM,,,0.88,14.07%,5.52%,11.77%
MMC,,,,,,
MXIM,,,1.34,29.88%,11.73%,37.38%
MAS,,,1.50,19.90%,12.35%,"1,303.70%"
MKC,,,0.39,13.74%,6.21%,21.18%
MCK,,,0.81,0.40%,2.94%,13.76%
MA,,,1.06,45.12%,19.79%,125.61%
MCD,,,0.66,24.95%,9.41%,N/A
MDT,,,0.68,15.80%,2.80%,8.76%
MSFT,,,0.90,30.96%,11.26%,40.14%
MGM,,,2.12,22.08%,-0.93%,15.43%
MET,,,1.34,10.73%,0.80%,10.47%
MTD,,,1.12,18.61%,16.99%,114.62%
MU,,,N/A,N/A,N/A,N/A
MCHP,,,1.57,12.23%,2.59%,11.93%
MRK,,,0.49,22.20%,11.19%,37.85%
MHK,,,1.42,5.20%,2.86%,6.13%
TAP,,,0.88,-1.62%,2.90%,-1.10%
MNST,,,1.07,26.57%,18.11%,27.64%
MDLZ,,,0.63,13.06%,3.86%,12.99%
MAA,,,,,,
MCO,,,1.17,33.40%,14.13%,192.09%
MSI,,,0.63,11.02%,10.04%,N/A
MOS,,,1.72,-12.92%,0.58%,-11.87%
MS,,,1.46,21.25%,1.02%,11.17%
MYL,,,1.53,2.35%,3.53%,2.29%
NDAQ,,,0.77,16.22%,5.30%,14.10%
MSCI,,,0.95,32.14%,13.53%,N/A
NTAP,,,1.24,14.47%,7.36%,138.27%
NEM,,,0.41,36.79%,3.49%,18.64%
NOV,,,1.77,-35.56%,-1.08%,-39.52%
NWL,,,1.05,-11.24%,2.85%,-24.97%
NWSA,,,1.48,-14.09%,1.55%,-16.52%
NLSN,,,1.19,-9.89%,2.66%,-23.68%
NWS,,,1.48,-14.09%,1.55%,-16.52%
NKE,,,0.78,6.79%,7.07%,29.70%
NEE,,,0.27,18.71%,3.15%,7.66%
