,Ticker,mkt_cap,pb_ratio,beta,profit_margin,ROA,ROE
170,EFX,20.99,8.79,1.15,0.0803,0.044000000000000004,0.1142
171,EQIX,62.19,7.17,0.38,0.08810000000000001,0.026099999999999998,0.052000000000000005
172,EQR,21.89,2.09,0.53,0.4164,0.0268,0.1076
173,ESS,14.97,2.4,0.61,0.3851,0.029500000000000002,0.1033
174,EL,67.92,15.71,0.77,0.0478,0.0849,0.1663
175,EVRG,13.45,1.58,0.37,0.1264,0.0276,0.07429999999999999
176,ES,28.53,2.16,0.31,0.1351,0.030299999999999997,0.0892
177,RE,8.24,0.96,0.45,0.062400000000000004,0.012199999999999999,0.0583
178,EXC,35.36,1.09,0.4,0.0794,0.021,0.0732
179,EXPE,11.61,5.11,1.64,-0.1709,-0.0085,-0.32520000000000004
180,EXPD,12.68,6.23,0.84,0.0702,0.133,0.2873
181,EXR,11.92,4.97,0.23,0.31989999999999996,0.048,0.1664
182,XOM,189.09,1.04,1.26,0.0335,0.006500000000000001,0.0365
183,FFIV,8.53,4.27,0.98,0.13949999999999999,0.0706,0.17190000000000003
184,FB,647.15,6.15,1.26,0.313,0.1358,0.2361
185,FAST,24.54,9.25,1.16,0.1507,0.1766,0.3154
186,FRT,6.44,2.75,0.87,0.3179,0.0253,0.10619999999999999
187,FDX,34.11,1.82,1.49,0.018600000000000002,0.026699999999999998,0.0713
188,FIS,82.87,1.69,0.73,0.0025,0.0167,0.0013
189,FITB,13.73,0.68,1.72,0.23149999999999998,0.008199999999999999,0.071
190,FE,21.02,3.09,0.27,0.0621,0.0187,0.0748
191,FRC,18.24,1.98,1.14,0.2789,0.008199999999999999,0.0966
192,FISV,65.35,2.05,0.79,0.0582,0.0206,0.047599999999999996
193,FLT,21.14,7.56,1.43,0.2988,0.062,0.22519999999999998
194,FLIR,5.32,3.12,1.45,0.0742,0.063,0.0767
195,FLS,3.71,2.23,1.82,0.0377,0.0512,0.08960000000000001
196,FMC,12.91,4.82,1.16,0.1035,0.0682,0.19519999999999998
197,F,24.9,0.84,1.32,-0.0163,-0.0051,-0.0634
198,FTNT,22.21,41.41,0.84,0.1746,0.0771,0.4935
199,FTV,22.8,3.15,1.21,0.08,0.040999999999999995,0.0774
200,FBHS,8.99,3.82,1.78,0.0761,0.07519999999999999,0.1808
201,FOXA,16.22,1.6,,0.0812,0.0756,0.1033
202,FOX,16.22,1.6,,0.0812,0.0756,0.1033
203,BEN,10.39,1.05,1.25,0.19039999999999999,0.0576,0.084
204,FCX,16.8,1.9,2.36,-0.0492,0.0067,-0.0353
205,GPS,4.99,2.16,1.64,-0.0739,-0.0095,-0.3532
206,GRMN,18.64,3.78,0.94,0.2482,0.0962,0.2101
207,IT,10.84,12.18,1.45,0.057,0.0406,0.24480000000000002
208,GD,42.88,3.25,,,,
209,GE,59.78,1.69,0.92,-0.051,0.0064,0.0837
210,GIS,38.21,5.04,0.57,0.12369999999999999,0.064,0.263
211,GM,35.42,0.88,1.47,0.0146,0.008100000000000001,0.0359
212,GPC,12.55,3.69,1.11,-0.0103,0.0461,0.0075
213,GILD,96.48,4.37,0.58,-0.0116,0.0437,-0.013999999999999999
214,GL,7.9,1.21,1.09,0.15839999999999999,0.023399999999999997,0.1
215,GPN,50.76,1.86,1.1,0.056799999999999996,0.023799999999999998,0.0258
216,GS,67.97,0.84,1.42,0.1448,0.0052,0.058600000000000006
217,GWW,16.83,9.3,1.03,0.0536,0.1151,0.3164
218,HRB,2.8,39.37,0.82,0.0757,0.0819,1.1521
219,HAL,11.38,1.67,2.64,-0.21350000000000002,0.0168,-0.5508
220,HBI,3.93,4.5,1.7,0.0784,0.0701,0.4728
221,HIG,13.8,0.92,0.94,0.08800000000000001,0.024,0.1127
222,HAS,10.27,3.76,0.94,0.0758,0.053,0.1732
223,HCA,32.8,,1.41,0.0667,0.084,
224,PEAK,14.84,2.05,0.64,0.1463,0.0085,0.048
225,HSIC,8.32,2.8,0.93,0.0635,0.0493,0.1573
226,HSY,26.96,16.13,0.18,0.135,0.1195,0.62
227,HES,15.91,2.21,2.21,-0.6021,-0.0089,-0.3328
228,HPE,12.69,0.78,1.23,0.0,0.024,0.0001
229,HLT,20.36,,1.31,0.018600000000000002,0.0273,
230,HFC,4.73,0.85,1.59,-0.0111,0.022099999999999998,-0.0104
231,HOLX,14.75,7.07,1.4,0.1507,0.062400000000000004,0.2205
232,HD,285.54,,1.09,0.09910000000000001,0.1809,
233,HON,101.47,5.75,1.08,0.16940000000000002,0.0712,0.3262
234,HRL,27.43,4.45,-0.05,0.0959,0.0789,0.1528
235,HST,7.61,1.08,1.26,0.024900000000000002,-0.0034000000000000002,0.013000000000000001
236,HWM,6.91,1.46,1.53,0.0387,0.06280000000000001,0.1417
237,HPQ,24.15,,1.03,0.0451,0.0768,
238,HUM,51.3,4.15,0.89,0.0496,0.0888,0.2664
239,HBAN,9.19,0.87,1.5,0.23629999999999998,0.0078000000000000005,0.07400000000000001
240,HII,7.07,4.3,0.95,0.0592,0.06,0.3194
241,IEX,11.93,5.35,1.06,0.15710000000000002,0.09029999999999999,0.17149999999999999
242,IDXX,28.08,260.79,0.8,0.1859,0.2057,2.0687
243,INFO,27.71,3.29,0.96,0.1843,0.0356,0.0964
244,ITW,55.28,24.21,1.17,0.1716,0.12390000000000001,0.8018000000000001
245,ILMN,54.07,11.67,0.88,0.20679999999999998,0.0875,0.1558
246,INCY,22.6,11.7,1.06,-0.08,-0.0377,-0.0832
247,IR,11.72,1.35,1.48,-0.0451,0.0129,-0.0281
248,INTC,254.46,3.33,0.71,0.29969999999999997,0.11630000000000001,0.3015
249,ICE,49.83,2.94,0.59,0.3847,0.0175,0.12689999999999999
250,IBM,107.56,5.38,1.17,0.1043,0.0362,0.4097
251,IP,13.84,2.02,1.29,0.0298,0.0385,0.087
252,IPG,6.69,2.64,0.98,0.0545,0.039599999999999996,0.1773
253,IFF,13.09,2.25,1.01,0.0827,0.0358,0.0684
254,INTU,79.89,16.92,0.95,0.2378,0.158,0.41240000000000004
255,ISRG,66.67,7.84,0.97,0.2607,0.0756,0.1431
256,IVZ,4.94,0.52,1.41,0.1097,0.0253,0.0462
257,IPGP,8.53,3.62,1.6,0.1079,0.048,0.0533
258,IQV,27.14,4.9,1.33,0.0121,0.0197,0.0252
259,IRM,7.52,6.69,0.72,0.0482,0.0361,0.1441
260,JKHY,14.1,9.32,0.5,0.1748,0.10310000000000001,0.19920000000000002
261,J,11.04,1.98,0.93,0.041100000000000005,0.0489,0.0559
262,JBHT,12.7,5.56,0.96,0.053,0.0818,0.2164
263,SJM,12.48,1.52,0.24,0.10779999999999999,0.0516,0.1054
264,JNJ,370.19,6.04,0.68,0.1886,0.0805,0.24539999999999998
265,JCI,25.4,1.4,1.23,0.0354,0.0241,0.047599999999999996
266,JPM,286.66,1.24,1.14,0.2586,0.0085,0.0953
267,JNPR,7.58,1.73,0.92,0.0789,0.0337,0.07719999999999999
268,KSU,14.08,3.18,0.95,0.2064,0.0661,0.11539999999999999
269,K,22.65,8.47,0.61,0.0809,0.0579,0.3336
270,KEY,11.89,0.77,1.49,0.2311,0.0077,0.0701
271,KEYS,18.73,6.07,1.07,0.14679999999999999,0.068,0.1923
272,KMB,48.2,,0.48,0.1358,0.1446,9.5523
273,KIM,5.55,1.15,1.15,0.9311,0.0222,0.1875
274,KMI,34.31,1.04,0.95,0.0141,0.0275,0.0067
275,KLAC,30.23,13.1,1.29,0.2096,0.1201,0.4535
276,KSS,3.0,0.63,1.69,-0.0060999999999999995,0.0102,-0.0206
277,KHC,39.0,0.76,1.01,-0.0075,0.0338,-0.0038
278,KR,27.06,2.89,0.31,0.0166,0.0435,0.21960000000000002
279,LB,6.78,,1.66,-0.0696,0.052199999999999996,
280,LHX,36.63,1.67,0.75,0.068,,
281,LH,16.16,2.3,1.32,0.0316,0.04650000000000001,0.0499
282,LRCX,47.01,10.33,1.28,0.2242,0.1258,0.45740000000000003
283,LW,8.77,32.44,0.75,0.0965,0.09970000000000001,3.1088
284,LVS,34.79,7.75,1.54,0.0395,0.029900000000000003,0.07490000000000001
285,LEG,4.65,3.76,1.6,0.0529,0.0525,0.1843
286,LDOS,13.31,3.97,1.11,0.0526,0.0565,0.1772
287,LEN,22.78,1.41,1.63,0.09300000000000001,0.057300000000000004,0.13119999999999998
288,LLY,157.03,51.0,0.18,0.24480000000000002,0.099,1.5761
289,LNC,7.11,0.43,2.17,0.013500000000000002,0.0012,0.0116
290,LIN,111.43,2.49,0.74,0.0837,0.0269,0.0467
291,LYV,9.42,10.96,1.18,-0.09050000000000001,-0.0304,-0.5437
292,LKQ,7.97,1.61,1.72,0.0472,0.0467,0.1107
293,LMT,101.45,29.44,0.93,0.1025,0.106,1.9303
