,Ticker,GICS
132,CAT,201060
133,CB,403010
134,CBOE,402030
135,CBRE,601020
136,CCEP,302010
137,CCI,601010
138,CCL,253010
139,CDNS,451030
140,CDW,452030
141,CE,151010
142,CELG,352010
143,CERN,351030
144,CF,151010
145,CFG,401010
146,CFN,351010
147,CHD,303010
148,CHKAQ,101020
149,CHRW,203010
150,CHTR,502010
151,CI,351020
152,CIEN,452010
153,CINF,403010
154,CL,303010
155,CLF,151040
156,CLX,303010
157,CMA,401010
158,CMCSA,502010
159,CMCSK,502010
160,CME,402030
161,CMG,253010
162,CMI,201060
163,CMS,551030
164,CNC,351020
165,CNP,551030
166,CNX,101020
167,COF,402020
168,COG,101020
169,COL,201010
170,COO,351010
171,COP,101020
172,COST,301010
173,COTY,303020
174,COV,351010
175,CPB,302020
176,CPGX,101020
177,CPRI,252030
178,CPRT,202010
179,CR,201060
180,CRM,451030
181,CSC,451020
182,CSCO,452010
183,CSRA,451020
184,CSX,203040
185,CTAS,202010
186,CTB,251010
187,CTL,501010
188,CTSH,451020
189,CTVA,151010
190,CTXS,451030
191,CVC,502010
192,CVG,451020
193,CVS,351020
194,CVX,101020
195,CXO,101020
196,D,551030
197,DAL,203020
198,DD,151010
199,DDS,255030
200,DE,201060
201,DFODQ,302020
202,DFS,402020
203,DG,255030
204,DGX,351020
205,DHI,252010
206,DHR,351010
207,DIS,502020
208,DISCA,502010
209,DISCK,502010
210,DISH,502010
211,DLR,601010
212,DLTR,255030
213,DLX,202010
214,DNR,101020
215,DOFSQ,101010
216,DOV,201060
217,DOW,151010
218,DRE,601010
219,DRI,253010
220,DTE,551030
221,DUK,551010
222,DVA,351020
223,DVN,101020
224,DXC,451020
225,EA,502020
226,EBAY,255020
227,ECL,151010
228,ED,551030
229,EFX,202020
230,EHC,351020
231,EIX,551010
232,EKDKQ,452020
233,EL,303020
234,EMC,452020
235,EMN,151010
236,EMR,201040
237,ENDP,352020
238,EOG,101020
239,EQIX,601010
240,EQR,601010
241,EQT,101020
242,ES,551010
243,ESRX,351020
244,ESS,601010
245,ETFC,402030
246,ETN,201040
247,ETR,551010
248,EVHC,351020
249,EVRG,551010
250,EW,351010
251,EXC,551010
252,EXPD,203010
253,EXPE,255020
254,EXR,601010
255,F,251020
256,FANG,101020
257,FAST,201070
258,FB,502030
259,FBHS,201020
260,FCX,151040
261,FDO,255030
262,FDX,203010
263,FE,551010
264,FFIV,452010
265,FHI,402030
266,FHN,401010
267,FIS,451020
268,FISV,451020
269,FITB,401010
270,FL,255040
271,FLIR,452030
272,FLR,201030
273,FLS,201060
274,FLT,451020
275,FMC,151010
276,FMCC,401020
277,FNMA,401020
278,FOSL,252030
279,FOX,502010
280,FOXA,502010
281,FRC,401010
282,FRT,601010
283,FSLR,453010
284,FTI,101010
285,FTNT,451030
286,FTRCQ,501010
287,FTV,201060
288,GAS,551020
289,GD,201010
290,GE,201050
291,GGP,601010
292,GHC,253020
293,GILD,352010
294,GIS,302020
295,GL,403010
296,GLW,452030
297,GM,251020
298,GMCR,302020
299,GME,255040
300,GNW,403010
301,GOLD,151040
302,GOOG,502030
303,GOOGL,502030
304,GPC,255010
305,GPN,451020
306,GPS,255040
307,GRMN,252010
308,GS,402030
309,GT,251010
310,GWW,201070
311,HAL,101010
312,HAR,252010
313,HAS,252020
314,HBAN,401010
315,HBI,252030
316,HCA,351020
317,HCBK,401020
318,HD,255040
319,HES,101020
320,HFC,101020
321,HIG,403010
322,HII,201010
323,HLT,253010
324,HOG,251020
325,HOLX,351010
326,HON,201050
327,HOT,253010
328,HP,101010
329,HPE,452020
330,HPQ,452020
331,HRB,253020
332,HRL,302020
333,HSH,302020
334,HSIC,351020
335,HSP,352020
336,HST,601010
337,HSY,302020
338,HUM,351020
339,HWM,201010
340,IBM,451020
341,ICE,402030
342,IDXX,351010
343,IEX,201060
344,IFF,151010
345,ILMN,352030
