Ticker,mkt_cap,pb_ratio,beta,profit_margin,ROA,ROE
COST,124160.0,7.83,0.7,0.0239,0.067,0.24559999999999998
COTY,3940.0,0.88,1.05,-0.3833,0.0129,-0.5034000000000001
CCI,60210.0,5.08,0.35,0.1475,0.026000000000000002,0.0779
CSX,43860.0,3.7,1.23,0.2774,0.0795,0.2685
CMI,19960.0,2.66,1.16,0.0934,0.07490000000000001,0.254
CVS,77430.0,1.21,0.71,0.0277,0.0346,0.115
DHI,12360.0,1.21,1.57,0.1026,0.0924,0.1869
DHR,96460.0,3.36,0.86,0.1813,0.0338,0.0861
DRI,11850.0,5.21,1.31,0.0725,0.0588,0.27449999999999997
DVA,9260.0,4.34,1.23,0.0785,0.0567,0.2408
DE,49920.0,4.37,0.94,0.0842,0.037200000000000004,0.2812
DAL,18200.0,1.18,1.27,0.0776,0.0507,0.25739999999999996
XRAY,8500.0,1.67,1.04,0.0212,0.039900000000000005,0.0171
DVN,2650.0,0.46,3.43,-0.2656,0.0574,-0.23379999999999998
FANG,4130.0,0.31,2.25,-0.011000000000000001,0.058499999999999996,-0.0089
DLR,36620.0,4.34,0.23,0.2189,0.0111,0.0501
DFS,10930.0,0.97,1.85,0.295,0.0194,0.20739999999999997
DISCA,9270.0,1.0,1.55,0.18539999999999998,0.0625,0.1989
DISCK,9270.0,0.9,1.55,0.18539999999999998,0.0625,0.1989
DISH,10460.0,0.9,1.67,0.0882,0.0368,0.11359999999999999
DG,38650.0,5.81,0.49,0.0617,0.08109999999999999,0.2611
DLTR,20610.0,3.37,0.55,0.035,0.0599,0.139
D,60570.0,2.05,0.41,0.1027,0.0313,0.0601
DOV,12090.0,3.99,1.39,0.1059,0.0761,0.25730000000000003
DOW,21660.0,1.6,,-0.0401,,-0.06860000000000001
DTE,18290.0,1.57,0.62,0.091,0.026600000000000002,0.09609999999999999
DUK,59450.0,1.33,0.35,0.1549,0.023399999999999997,0.0768
DRE,11930.0,2.38,0.66,0.4268,0.0196,0.0839
DD,25020.0,0.61,1.46,-0.03,0.0148,-0.0171
DXC,9530.0,1.11,2.51,-0.07980000000000001,0.037000000000000005,-0.1551
ETFC,7590.0,1.3,1.22,0.29469999999999996,0.0125,0.1272
EMN,6330.0,1.06,1.62,0.0885,0.0489,0.1343
ETN,31080.0,1.93,1.16,0.10189999999999999,0.0527,0.1393
EBAY,21070.0,7.34,1.28,0.4349,0.0728,0.4813
ECL,45070.0,5.19,0.99,0.1032,0.069,0.18289999999999998
EIX,19910.0,1.5,0.54,0.0966,0.024900000000000002,0.08410000000000001
EW,38950.0,9.39,0.85,0.24710000000000001,0.1407,0.3015
EA,29020.0,4.01,0.9,0.5488000000000001,0.0911,0.47509999999999997
EMR,28470.0,3.38,1.52,0.1204,0.0883,0.2713
ETR,18810.0,1.84,0.57,0.1033,0.022400000000000003,0.1124
