Ticker,GICS
MAA,601010
MAC,601010
MAR,253010
MAS,201020
MAT,252020
MBI,403010
MCD,253010
MCHP,453010
MCK,351020
MCO,402030
MDLZ,302020
MDP,502010
MDRIQ,101010
MDT,351010
MET,403010
MGM,253010
MHK,252010
MJN,302020
MKC,302020
MKTX,402030
MLM,151020
MMC,403010
MMM,201050
MNK,352020
MNST,302010
MO,302030
MON,151010
MOS,151010
MPC,101020
MRK,352020
MRO,101020
MS,402030
MSCI,402030
MSFT,451030
MSI,452010
MTB,401010
MTD,352030
MTG,401020
MTW,201060
MU,453010
MUR,101020
MWV,151030
MWW,502030
MXIM,453010
MYL,352020
NAV,201060
NAVI,402020
NBL,101020
NBR,101010
NCLH,253010
NCR,452020
NDAQ,402030
NE,101010
NEE,551010
NEM,151040
NFLX,502020
NFX,101020
NI,551030
NKE,252030
NKTR,352020
NLOK,451030
NLSN,202020
NOC,201010
NOV,101010
NOW,451030
NRG,551010
NSC,203040
NTAP,452020
NTRS,402030
NUE,151040
NVDA,453010
NVR,252010
NWL,252010
NWS,502010
NWSA,502010
NYT,502010
O,601010
ODFL,203040
OI,151030
OKE,101020
OMC,502010
ORCL,451030
ORLY,255040
OXY,101020
PAYX,451020
PBCT,401010
PBI,202010
PCAR,201060
PCG,551010
PCL,601010
PCP,201010
PDCO,351020
PEAK,601010
PEG,551030
PEP,302010
PETM,255040
PFE,352020
PFG,403010
PG,303010
PGR,403010
PH,201060
PHM,252010
PKG,151030
PKI,352030
PLD,601010
PM,302030
PMCS,453010
PNC,401010
PNR,201060
PNW,551010
POM,551010
PPG,151010
PPL,551010
PRGO,352020
PRU,403010
PSA,601010
PSX,101020
PTC,451030
PVH,252030
PWR,201030
PX,151010
PXD,101020
PYPL,451020
QCOM,453010
QEP,101020
QLGC,452030
QRVO,453010
R,203040
RAI,302030
RCL,253010
RDC,101010
RE,403010
REG,601010
REGN,352010
RF,401010
RHI,202020
RHT,451030
RIG,101010
RJF,402030
RL,252030
RMD,351010
ROK,201040
ROL,202010
ROP,201050
ROST,255040
RRC,101020
RRD,202010
RSG,202010
RSHCQ,255040
RTN,201010
RTX,201010
SANM,452030
SAPE,451020
SBAC,601010
SBUX,253010
SCG,551030
SCHW,402030
SEE,151030
SHLDQ,255030
SHW,151010
SIAL,151010
SIG,255040
SITC,601010
SIVB,401010
SJM,302020
SLB,101010
SLG,601010
SLM,402020
SNA,201060
SNDK,452020
SNI,502010
SNPS,451030
SNV,401010
SO,551010
SOV,401010
SPG,601010
SPGI,402030
SPLS,255040
SRCL,202010
SRE,551030
SSP,502010
STE,351010
STI,401010
STJ,351010
STR,551020
STT,402030
STX,452020
STZ,302010
SUNEQ,453010
SVU,301010
SWK,201060
SWKS,453010
SWN,101020
SWY,301010
SYF,402020
SYK,351010
SYY,301010
T,501010
TAP,302010
TDC,451030
TDG,201010
TEG,551030
TEL,452030
TER,453010
TEX,201060
TFC,401010
TFCF,502020
TFCFA,502020
TFX,351010
TGNA,502010
TGT,255030
THC,351020
TIF,255040
TJX,255040
TMO,352030
TMUS,501020
TPR,252030
TRIP,502030
TROW,402030
TRV,403010
TSCO,255040
TSN,302020
TSS,451020
TT,201020
TTWO,502020
TUP,252010
TWC,502010
TWTR,502030
TWX,502020
TXN,453010
TXT,201010
UA,252030
UAA,252030
UAL,203020
UDR,601010
UHS,351020
UIS,451020
ULTA,255040
UN,303020
UNH,351020
UNM,403010
UNP,203040
UPS,203010
URBN,255040
URI,201070
USB,401010
V,451020
VAL,101010
VAR,351010
VFC,252030
VIAB,502020
VIAC,502010
VIAV,452010
VLO,101020
VMC,151020
VNO,601010
VRSK,202020
VRSN,451020
VRTX,352010
VTR,601010
VTSS,453010
VZ,501010
WAB,201060
WAT,352030
WBA,301010
WCG,351020
WDC,452020
WEC,551030
WELL,601010
WFC,401010
WFM,301010
WFTIQ,101010
WHR,252010
WINMQ,501010
WLTW,403010
WM,202010
WMB,101020
WMT,301010
WOR,151040
WPX,101020
WRB,403010
WRK,151030
WU,451020
WY,601010
WYND,253010
WYNN,253010
X,151040
XEC,101020
XEL,551010
XL,403010
XLNX,453010
XOM,101020
XRAY,351010
XRX,452020
XYL,201060
YUM,253010
ZBH,351010
ZBRA,452030
ZION,401010
ZTS,352020
