,Symbol,Security,GICS Sector,GICS Sub Industry,CIK
32,AMT,American Tower Corp.,Real Estate,Specialized REITs,1053507
33,AWK,American Water Works Company Inc,Utilities,Water Utilities,1410636
34,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,820027
35,ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,1140859
36,AME,AMETEK Inc.,Industrials,Electrical Components & Equipment,1037868
37,AMGN,Amgen Inc.,Health Care,Biotechnology,318154
38,APH,Amphenol Corp,Information Technology,Electronic Components,820313
39,ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,6281
40,ANSS,ANSYS,Information Technology,Application Software,1013462
41,ANTM,Anthem,Health Care,Managed Health Care,1156039
42,AON,Aon plc,Financials,Insurance Brokers,315293
43,AOS,A.O. Smith Corp,Industrials,Building Products,91142
44,APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,6769
45,AIV,Apartment Investment & Management,Real Estate,Residential REITs,922864
46,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",320193
47,AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment,6951
48,APTV,Aptiv PLC,Consumer Discretionary,Auto Parts & Equipment,1521332
49,ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,7084
50,ANET,Arista Networks,Information Technology,Communications Equipment,1596532
51,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,354190
52,AIZ,Assurant,Financials,Multi-line Insurance,1267238
53,T,AT&T Inc.,Communication Services,Integrated Telecommunication Services,732717
54,ATO,Atmos Energy,Utilities,Gas Utilities,731802
55,ADSK,Autodesk Inc.,Information Technology,Application Software,769397
56,ADP,Automatic Data Processing,Information Technology,Internet Services & Infrastructure,8670
57,AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,866787
58,AVB,AvalonBay Communities,Real Estate,Residential REITs,915912
59,AVY,Avery Dennison Corp,Materials,Paper Packaging,8818
60,BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,1701605
61,BLL,Ball Corp,Materials,Metal & Glass Containers,9389
62,BAC,Bank of America Corp,Financials,Diversified Banks,70858
63,BK,The Bank of New York Mellon,Financials,Asset Management & Custody Banks,1390777
64,BAX,Baxter International Inc.,Health Care,Health Care Equipment,10456
65,BDX,Becton Dickinson,Health Care,Health Care Equipment,10795
66,BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,1067983
67,BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,764478
68,BIO,Bio-Rad Laboratories,Health Care,Life Sciences Tools & Services,12208
69,BIIB,Biogen Inc.,Health Care,Biotechnology,875045
70,BLK,BlackRock,Financials,Asset Management & Custody Banks,1364742
71,BA,Boeing Company,Industrials,Aerospace & Defense,12927
72,BKNG,Booking Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Retail,1075531
73,BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,908255
74,BXP,Boston Properties,Real Estate,Office REITs,1037540
75,BSX,Boston Scientific,Health Care,Health Care Equipment,885725
76,BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,14272
77,AVGO,Broadcom Inc.,Information Technology,Semiconductors,1730168
78,BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,1383312
79,BF-B,Brown-Forman Corp.,Consumer Staples,Distillers & Vintners,14693
80,CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,1043277
81,COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,858470
82,CDNS,Cadence Design Systems,Information Technology,Application Software,813672
83,CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,16732
84,COF,Capital One Financial,Financials,Consumer Finance,927628
85,CAH,Cardinal Health Inc.,Health Care,Health Care Distributors,721371
86,KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,1170010
87,CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",815097
88,CARR,Carrier Global,Industrials,Building Products,1783180
89,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,18230
90,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1374310
91,CBRE,CBRE Group,Real Estate,Real Estate Services,1138118
92,CDW,CDW,Information Technology,Technology Distributors,1402057
93,CE,Celanese,Materials,Specialty Chemicals,1306830
94,CNC,Centene Corporation,Health Care,Managed Health Care,1071739
95,CNP,CenterPoint Energy,Utilities,Multi-Utilities,1130310
96,CTL,CenturyLink Inc,Communication Services,Alternative Carriers,18926
97,CERN,Cerner,Health Care,Health Care Technology,804753
98,CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,1324404
99,SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,316709
100,CHTR,Charter Communications,Communication Services,Cable & Satellite,1091667
101,CVX,Chevron Corp.,Energy,Integrated Oil & Gas,93410
102,CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,1058090
103,CB,Chubb Limited,Financials,Property & Casualty Insurance,896159
104,CHD,Church & Dwight,Consumer Staples,Household Products,313927
