CURO,40202010
CUTR,35101010
CUZ,60101040
CVA,20201050
CVBF,40101015
CVCO,25201030
CVCY,40101015
CVET,35102010
CVGI,20106010
CVGW,30202030
CVI,10102030
CVIA,10101020
CVLT,45103020
CVLY,40101015
CVM,35201010
CVNA,25504050
CVS,35102015
CVTI,20304020
CVX,10102010
CW,20101010
CWCO,55104010
CWEN,55105010
CWEN/A,55105010
CWH,25504050
CWK,60102040
CWST,20201050
CWT,55104010
CXO,10102020
CXP,60101040
CXW,60101080
CYCN,35201010
CYH,35102020
CYRX,35101010
CYTK,35201010
CZNC,40101015
CZR,25301010
D,55103010
DAKT,45203010
DAL,20302010
DAN,25101010
DAR,30202010
DBD,45202030
DBI,25504010
DBX,45103010
DCI,20106020
DCO,20101010
DCOM,40101015
DCPH,35201010
DD,15101050
DDD,45202030
DDS,25503010
DE,20106015
DEA,60101040
DECK,25203020
DEI,60101040
DELL,45202030
DENN,25301040
DFIN,40203040
DFS,40202010
DG,25503020
DGICA,40301040
DGII,45201020
DGX,35102015
DHC,60101050
DHI,25201030
DHIL,40203010
DHR,35101010
DHT,10102040
DHX,50203010
DIN,25301040
DIOD,45301020
DIS,50202010
DISCA,50201020
DISCK,50201020
DISH,50201030
DJCO,50201040
DK,10102030
DKS,25504040
DLA,25203010
DLB,45203015
DLR,60101080
DLTH,25502020
DLTR,25503020
DLX,20201010
DMRC,45103010
DNKN,25301040
DNLI,35201010
DNOW,20107010
DNR,10102020
DOC,60101050
DOCU,45103010
DOMO,45103010
DOOR,20102010
DORM,25101010
DOV,20106020
DOW,15101010
DOX,45102010
DPZ,25301040
DRE,60101020
DRH,60101030
DRI,25301040
DRNA,35201010
DRQ,10101020
DS,25301030
DSKE,20304020
DSPG,45301020
DSSI,10102040
DT,45103010
DTE,55103010
DTIL,35201010
DUK,55101010
DVA,35102015
DVAX,35201010
DVN,10102020
DX,40204010
DXC,45102010
DXCM,35101010
DXPE,20107010
DY,20103010
DZSI,45201020
EA,50202020
EAF,20104010
EAT,25301040
EB,50203010
EBAY,25502020
EBF,20201010
EBIX,45103010
EBS,35201010
EBSB,40102010
EBTC,40101015
ECHO,20301010
ECL,15101050
ECOL,20201050
ECOM,45103010
ECOR,35101010
ECPG,40202010
ED,55103010
EDIT,35201010
EE,55101010
EEFT,45102020
EEX,50201010
EFC,40204010
EFSC,40101015
EFX,20202020
EGAN,45103010
EGBN,40101015
EGHT,45103010
EGLE,20303010
EGOV,45102020
EGP,60101020
EGRX,35201010
EHC,35102020
EHTH,40301010
EIDX,35201010
EIG,40301040
EIGI,45102030
EIGR,35201010
EIX,55101010
EL,30302010
ELAN,35202010
ELF,30302010
ELOX,35202010
ELS,60101060
ELVT,40202010
ELY,25202010
EME,20103010
EML,20106020
EMN,15101020
EMR,20104010
ENDP,35202010
ENOB,35201010
ENPH,45301010
ENR,30301010
ENS,20104010
ENSG,35102020
ENTA,35201010
ENTG,45301010
ENV,45103010
ENVA,40202010
ENZ,35102015
EOG,10102020
EOLS,35202010
EPAC,20106020
EPAM,45102010
EPAY,45103010
EPC,30302010
EPM,10102020
EPR,60101080
EPRT,60101010
EPZM,35201010
EQBK,40101015
EQC,60101040
EQH,40201020
EQIX,60101080
EQR,60101060
EQT,10102020
ERA,10101020
ERI,25301010
ERIE,40301040
ERII,20106020
EROS,50202010
ES,55101010
