8206908Q,NA,522120
8214761Q,NA,NA
8277831Q,NA,541511
8394653Q,NA,531130
929530Q,NA,211120
945852Q,NA,517210
987200Q,NA,452210
9876544D,25301010,339999
9876549D,20202020,323111
9876566D,40301040,524126
9995522D,25504040,453210
A,35203010,334515
AA,15104010,331313
AAL,20302010,481111
AAMRQ,20302010,481111
AAP,25504050,441310
AAPL,45202030,334111
ABBV,35201010,325412
ABC,35102010,424210
ABKFQ,NA,524126
ABMD,35101010,334510
ABT,35101010,325412
ACAS,40203010,525990
ACN,45102010,541611
ADBE,45103010,511210
ADI,45301020,334413
ADM,30202010,311224
ADP,45102020,518210
ADS,45102020,541618
ADSK,45103010,541512
AEE,55103010,551112
AEP,55101010,551112
AES,55105010,221112
AET,35102030,524114
AFL,40301020,524114
AGN,35202010,325412
AIG,40301030,524126
AIV,60101060,531110
AIZ,40301030,524126
AJG,40301010,524210
AKAM,45102030,518210
AKS,15104050,331110
ALB,15101050,325998
ALGN,35101020,339114
ALK,20302010,481111
ALL,40301040,524126
ALLE,20102010,334419
ALXN,35201010,325414
AMAT,45301010,333242
AMCC,45301020,334413
AMCR,15103020,331000
AMD,45301020,334413
AME,20104010,334511
AMG,40203010,523920
AMGN,35201010,325412
AMP,40203010,523920
AMT,60101080,531120
AMZN,25502020,454110
AN,25504050,441110
ANDV,10102030,324110
ANDW,NA,335929
ANET,45201020,541513
ANF,25504010,448140
ANRZQ,10102050,212112
ANSS,45103010,511210
ANTM,35102030,524114
AON,40301010,524000
AOS,20102010,335312
APA,10102020,211120
APC,10102020,211130
APD,15101040,325120
APH,45203015,334417
APOL,25302010,611310
APTV,25101010,336320
ARE,60101040,531120
ARG,15101040,325120
ASH,15101050,325199
ATGE,25302010,611310
ATI,15104050,331110
ATO,55102010,551112
ATVI,50202020,511210
AVB,60101060,531110
AVGO,45301020,334413
AVP,30302010,325620
AVY,15103020,322220
AW,NA,562219
AWE,NA,517110
AWK,55104010,551112
AXP,40202010,522210
AYE,NA,221122
AYI,20104010,335122
AZO,25504050,441310
BA,20101010,336411
BAC,40101010,522110
BAX,35101010,339113
BBBY,25504060,442299
BBY,25504020,443142
BC,25202010,339920
BCR,35101010,339112
BDK,NA,333991
BDX,35101010,339113
BEN,40203010,523920
BF/B,30201020,312130
BGEN,NA,325414
BHF,40301020,524113
BHI,10101020,333132
BIG,25503020,452910
BIIB,35201010,325412
BK,40203010,522110
BKNG,25502020,561599
BKR,10101020,213112
BLK,40203010,523920
BLL,15103010,332431
BLS,NA,517110
BMC,NA,511210
BMS,15103020,322220
BMY,35202010,325412
BNI,NA,482111
BOL,NA,333314
BR,45102020,518210
BRCM,45301020,334413
BRK/B,40201030,524126
BRL,NA,325412
BSX,35101010,339112
BTUUQ,10102050,212112
BWA,25101010,336350
BXLT,35201010,339113
BXP,60101040,531120
C,40101010,522110
CA,45103020,511210
CAG,30202030,311612
CAH,35102010,424210
CAM,10101020,333132
CAR,20304020,532111
CAT,20106010,333120
CB,40301040,524126
CBE,NA,335122
CBOE,40203040,523210
CBRE,60102040,531390
CCEP,30201030,312111
CCI,60101080,531190
CCL,25301020,483112
CCTYQ,NA,443142
CDNS,45103010,541512
CDW,45203030,454390
CE,15101050,325199
CEG,NA,221122
CELG,35201010,325414
CEPH,NA,325412
CERN,35103010,541512
CF,15101030,325311
CFC,NA,522292
CFG,40101015,522110
CFN,35101010,339112
CHD,30301010,325180
CHKAQ,10102020,211120
CHRW,20301010,541614
CHTR,50201030,517110
CI,35102015,524114
CIEN,45201020,335921
CIN,NA,221122
CINF,40301040,524126
CITGQ,NA,522220
CL,30301010,325611
CLF,15104050,212210
CLX,30301010,325612
CMA,40101015,522110
CMCSA,50201030,517311
CMCSK,50201030,517311
CME,40203040,523210
CMG,25301040,722511
CMI,20106010,333618
CMS,55103010,551112
CMVT,NA,517919
CMX,NA,621111
CNC,35102030,524114
CNCEQ,NA,524113
CNP,55103010,551112
CNX,10102020,212112
COC,NA,324110
COF,40202010,522210
COG,10102020,211130
COL,20101010,334511
COO,35101020,339115
COP,10102020,324110
COST,30101040,452311
COTY,30302010,325620
COV,35101010,339112
CPB,30202030,311813
